68515,"Friedrich Eggers","Friedrich Eggers war deutscher Kunsthistoriker. Er war auch Mitglied im Tunnel über der Spree und im Rütli. Friedrich Eggers war der dritte Sohn des Rostocker Holz- und Baumaterialienhändlers Christian Friedrich Eggers (1788-1858) und dessen Frau Sophie Lierow (1793-1850). Nach dem Schulabschluss 1835 erlernte er den Kaufmannsberuf. Aus diesen Jahren stammen erste schriftstellerische Versuche. 1839 bis 1841 holte Eggers in Privatunterricht das Abitur nach, begann schließlich am 14. April 1842 ein Philologie Studium an der Universität Rostock und wechselte im selben Jahr nach Leipzig, wo er bei Wilhelm Wachsmuth historische Studien betrieb. Ein erneuter Wechsel führte ihn 1843 nach München zum Studium der klassischen Archäologie. Nach weiteren Wechseln zurück nach Rostock 1844 und schließlich nach Berlin promovierte Eggers 1848 in Rostock zum Thema Die Kunst als Erziehungsmittel für die Jugend. In Berlin machte er die Bekanntschaft mit Franz Kugler, der ihn mit der Ausarbeitung einer vielbeachteten Denkschrift über die Reorganisation der Kunstverwaltung in Preußen beauftragte. Später schrieb Eggers eine vortreffliche Biografie Kuglers, der ihn auch in den literarischen Sonntagsverein Tunnel über der Spree eingeführt hatte. Zu Ostern 1849 trat Friedrich Eggers in die Redaktion der Mecklenburgischen Zeitung ein, kehrte aber schon im Herbst des gleichen Jahres nach Berlin zurück und gründete dort wenig später das Deutsche Kunstblatt. Er redigierte dieses bis zu dessen Einstellung zusammen mit anderen Mitgliedern des Rütli. Zu Ostern 1863 wurde Eggers als Lehrer der Kunstgeschichte an die königliche Akademie der Künste in Berlin berufen und bekam am 27. November des Jahres dort eine Professur. Er war Professor an der Gewerbe- und der Bauakademie Berlin. Neben der Lehrtätigkeit verfolgte er schriftstellerische Ambitionen, die jedoch weitgehend unbekannt blieben. Als Hauptwerk von Friedrich Eggers gilt seine Biografie des Bildhauers Christian Daniel Rauch in fünf Bänden, die er allerdings nicht mehr fertigstellen konnte. Sie wurde von seinem Bruder Karl Eggers vollendet. 1871 trat Eggers in das preußische Kultusministerium ein und war dort für bildende Künste zuständig. Er war u. a. mit Theodor Fontane Begründer der Vereinigung Ellora. Sein ebenfalls aus Rostock stammender Freund Adolf von Wilbrandt nahm ihn als Vorlage für die Figur des bisexuellen Fridolin in seinem Roman Fridolins heimliche Ehe, welcher 1875 veröffentlicht wurde, als Wilbrandt in Wien weilte. Der gemeinsame Freund Fontane schreibt in seiner autobiografischen Schrift Von Zwanzig bis Dreißig, dass Fridolin in dieser „reizenden Geschichte“ „frei nach dem Leben gezeichnet“ wurde. Friedrich Eggers war Ehrenmitglied des Akademischen Vereins Hütte. Er starb nach kurzer Krankheit in Berlin. Die Beisetzung erfolgte wenige Tage später in seiner alten Heimat Rostock."
68516,"Ludwig Eichrodt","Ludwig Eichrodt was a German poet and dramatist."
68517,"Wilhelm Eisenlohr","German physician and educator."
68518,"Oskar Eisenmann","Nach Studien auf den Gebieten der Jurisprudenz, Literatur und Kunstgeschichte (abgeschlossen mit der Promotion in Jura), verfasste er eine Untersuchung über Hans Baldung Grien. Zunächst als Privatgelehrter lebend, leitete er von 1888 bis 1909 die Kasseler Galerie, die ihm einen vorzüglichen Katalog ihrer Gemälde verdankt."
68519,"Theodor Fingado","Theodor Fingado war Pfarrer in Mannheim und seit Herbst 1886 in Badenweiler. Während seines Studiums in Basel war er Schüler des Schweizer Kunsthistorikers Jacob Burckhardt."
68520,"Georg Finsler","Georg August Finsler war ein Schweizer Altphilologe.
Nach seinem Studium wurde Finsler Lehrer für Latein und Altgriechisch in Zürich. 1886 wurde er Rektor des Städtischen Gymnasiums in Bern. Finsler gründete die Literarische Gesellschaft in Bern und beschäftigte sich mit Forschungen zu den homerischen Epen. Er war mit Ulrich von Wilamowitz-Moellendorff in Kontakt.
1907 wurde ihm ehrenhalber das Burgerrecht der Burgergemeinde Bern erteilt."
68521,"Hartwig Floto","Hartwig Floto war ein deutscher Historiker.

Nach einem dreijährigen Studium für das Lehramt Geschichte und Geographie in Berlin wurde Floto Lehrer an der Ritterakademie zu Liegnitz. 1847 promovierte er bei Leopold von Ranke in Berlin mit der Arbeit De sancto Annone. Floto veröffentlichte 1855 und 1856 sein zweibändiges Werk Kaiser Heinrich IV. und sein Zeitalter, das er seinem Lehrer Ranke widmete. Dieses Werk brachte ihn als Nachfolger von Jacob Burckhardt die Berufung als Professor für Geschichte an die Universität Basel ein. Die Ergebnisse eines Vortrages über Dante und die Divina Commedia führten 1858 zum Werk Dante Alighieri, sein Leben und seine Werke. 1858 erkrankte Floto schwer und musste seine Lehrtätigkeit aufgeben."
68522,"Friedrich Fries","German art historian and museum director."
68523,"Karl Frey","German art historian. He attended the University of Berlin from where he wrote his dissertation on the Loggia dei Lanzi in 1884. His early publications were on the writing of the early art biographer Giorgio Vasari, an edition of the «Vite» between 1884 and 1887. Between 1891 and 1893, the Hungarian scholar Cornelius von Fabriczy (1839-1910) published articles in the «Archivio storico italiano» on two artistic biographies before Vasari, manuscripts found in the Biblioteca Nazionale Centrale in Florence of Antonio Gaddiano and Antonio Billi. Between that time, in 1892, Frey published edited versions of both these texts as well as the Magliabechiano manuscript (discovered in the Magliabechiano collection), known to be authored simply by «Anonimo Magliabechiano» (anonymous of Magliabechiano). In the latter 1890s, Frey's attention turned to Michelangelo. He began what he hoped would be a critical edition of the artist's letters in 1907 with «Michelangiolos Jugendjahre». However, none more was published. He published books on Michelangelo's drawings between 1909 and 1911 before embarking on a project of Vasari's work and influence. Frey's death in 1917 left these unpublished. Some were completed by his son, Hermann-Walther Frey."
68524,"Kuno Francke","Kuno Francke, was a U.S. educator and historian. Most of his career was spent at Harvard University where he eventually became a professor of history and German culture and curator of the Germanic Museum."
68525,"Louis Jenke","Librarian, art and map merchant in Basel."
68526,"Константин Йованович","Konstantin Jovanović was an Austrian/Austro–Hungarian, Serbian and Bulgarian architect known for providing the original designs of the National Assembly of Bulgaria and National Assembly of Serbia buildings."
68527,"Rudolf Jung",
68528,"Johann Heinrich Kägi","Von Wädenswil im Kanton Zürich, wo er als Sekundarlehrer wirkte, wurde Kägi 1869 als Lehrer an die obere Töchterschule in Basel berufen und schon 1874 zum Rektor der Sekundarschulen gewählt. 1887 trat er die Nachfolge Cherbuins (s. d.) in der Leitung der Basler Töchterschule an. Zur Schultätigkeit gesellte sich die politische im Großen Rat und verschiedenen kleineren Gremien. Auch von seinen Gegnern als unermüdlicher Arbeiter geachtet, war er doch der entschiedene Vertreter eines politischen und kirchlichen Radikalismus, der sich erst gegen Ende seines Lebens etwas milderte."
68529,"Viktor Kaiser","Nach dem Schulbesuch in Solothurn studierte K. in Jena, Berlin und Leipzig, wo er 1845 mit einer Dissertation «De numeris Platonis» promovierte. Er übernahm in der Folge eine «Professur» für Philosophie und Kulturgeschichte am Lyzeum in Solothurn und wirkte hier fünfzig Jahre lang als Lehrer, hielt daneben zahlreiche öffentliche Vorträge über lokalhistorische Themen vor allem aus der Renaissancezeit. Ein Werk über die Geschichte der Idee der Menschenwürde blieb unvollendet."
68530,"Johann Karl Kappeler","Dem Thurgau entstammend, bildete er sich in Zürich und Deutschland zum Juristen aus, um zunächst als Advokat in Frauenfeld zu wirken. Dem Eintritt in die politischen und richterlichen Behörden seines Kantons folgte bei der Gründung des neuen Bundesstaates die Wahl in den Ständerat, den K. viermal präsidierte. Als Befürworter einer gesamtschweizerischen Hochschule und Urheber des ersten Gesetzesentwurfs für das Eidg. Polytechnikum wurde er 1857 als Nachfolger Johann Conrad Kerns zum Präsidenten des Schweizerischen Schulrats auserkoren, einem Amt, das er mit großer Hingabe bis zu seinem schnellen Tode ausübte."
68531,"Friedrich Imhoof","Friedrich Imhoof-Blumer war ein Schweizer Numismatiker."
68532,"Gustav Könnecke","Karl Friedrich Gustav Könnecke (* 17. Oktober 1845 in Kroppenstedt; † 24. Oktober 1920 in Marburg) war ein deutscher Archivar und Literaturhistoriker. Bekannt wurde er durch den Bilderatlas zur Geschichte der deutschen Nationalliteratur."
68533,"Rudolf Kelterborn","Swiss teacher, writer, composer and director of the conservatory in Basel."
68534,"Albert Jahn","Heinrich Albert Jahn (* 9. Oktober 1811 in Twann; † 23. August 1900 in Bern) war ein Schweizer Geschichtsschreiber und Altertumsforscher.
Jahn war 1840-47 Unterbibliothekar der Stadtbibliothek daselbst, trat 1853 in den eidgenössischen Staatsdienst und bekleidete 1869-79 die Stelle eines Sekretärs im Departement des Innern. Er schrieb unter anderem:
Die keltischen Altertümer der Schweiz (Bern 1860);
Die Pfahlbau-Alterthümer von Moosseedorf, im Kanton Bern: Ein Beitrag zur ältesten Kultur- und Völkergeschichte Mittel-Europa's (mit Johann Uhlmann), Bern: Huber, 1857
Emmenthaler Alterthümer und Sagen, Bern: Huber, 1865
Bonaparte, Talleyrand et Stapfer, Zürich: Orell, Füssli, 1869
Die Geschichte der Burgundionen und Burgundiens bis zum Ende der I. Dynastie, Halle: Buchhandl. d. Waisenhauses, 1874"
68535,"Karl Alexander Albert Jahn","Swiss architect, author of the Museum of Natural History in Bern."
68536,"Hubert Janitschek","Im schlesischen Troppau geboren, studierte und promovierte er an der Universität Graz. Es folgte ein mehrjähriger Aufenthalt in Italien, insbesondere auch in Sizilien. Das Resultat, neben Studien über die palermitanische Malerei und über Michelangelo, bestand in der eingehenden Beschäftigung mit Leon Battista Alberti, von dessen Schriften J. 1877 ein kleines Bändchen herausgab. Über andern Plänen ist die Arbeit zu einer Biographie Albertis bis zu seinem Tod unvollendet geblieben. Der Habilitation in Wien 1878 folgte die Berufung als Nachfolger Woltmanns nach Prag, das er jedoch bald mit Straßburg vertauschte, um 1892 nach Leipzig zu gehen. Seit 1879 führte J. die Redaktion des «Repertoriums für Kunstwissenschaft» und legte selber eine Reihe von eigenen Abhandlungen darin nieder. Er war verheiratet mit der österreichischen Schriftstellerin Maria Tölk."
68537,"Carl Krabbe","German librarian and publisher."
68538,"Andreas Ludwig Kym","Gebürtiger Thurgauer, besuchte er das Basler Pädagogium, begann auch in Basel das Theologiestudium, ging dann nach Berlin, wo er unter dem Einfluss Trendelenburgs mit einer philosophischen Dissertation promovierte. Nach weiteren, den Naturwissenschaften gewidmeten Berliner Semestern habilitierte er sich an der Universität Zürich, wo er 1857 die volle Stellung eines Ordinarius erlangte. Er dozierte über fast sämtliche Gebiete der Philosophie, auch über deren Geschichte. Ein 1875 erschienener Sammelband «Metaphysische Untersuchungen» gibt von seinem vielseitigen, jedoch nicht nachhaltigen Schaffen einen Begriff."
68539,"Karl Reinhold Köstlin","Karl Reinhold von Köstlin war ein deutscher evangelischer Theologe, Ästhetiker und Literaturhistoriker. Als Theologe wird er der Tübinger Schule zugerechnet."
68540,"Louis Iffenthaler","Swiss antique dealer."
68541,"Theodor Im Hof","Swiss teacher and historian."
68542,"Ferdinand Hiller","Ferdinand Hiller was a German composer, conductor, writer and music-director."
68543,"Laura Marholm","Laura Marholm war eine deutsch-baltische Autorin von eigenwilligen frauenrechtlichen und pazifistischen Büchern und Essays, zu Lebzeiten von vergleichbarer Popularität wie Ellen Key.
Laura Marholm war die Tochter des dänischen Schiffskapitäns Frederik Mohr und dessen Frau Amalie, geb. Roeder. Sie wurde in Riga erzogen und absolvierte ein Lehrerinnenseminar als ""deutschsprechende Dänisch-Russin aus Lettland"". War eine Zeit lang Mitarbeiterin des dortigen Lokalblattes Zeitung für Stadt und Land. Publizierte nach einem ersten Theaterstück erfolgreich für die Presse. Lebte seit 1885 in Kopenhagen, heiratete dort im Herbst 1889 den schwedischen Schriftsteller Ola Hansson, mit dem sie nach Deutschland ging, und bekam einen Sohn. Wohnte von 1891 bis 1893 in Friedrichshagen bei Berlin und schloss sich dort dem Friedrichshagener Dichterkreis an, in den Marholm auch August Strindberg einlud. Laura Marholm stand mit bedeutenden skandinavischen Künstlern und Literaten ihrer Zeit in Kontakt, u.a. mit Georg Brandes, Edvard Munch und Arne Garborg. Ab 1895 lebte sie in Schliersee. 1898 traten sie und ihr Mann zum katholischen Glauben über. Ein Jahr später zog das Ehepaar nach München. Unter Verfolgungsängsten leidend wurde Laura Marholm 1905 in eine Anstalt überwiesen und ist bis zu ihrem Tod 1928 nicht mehr genesen."
68544,"Heinrich Gelzer","Heinrich Gelzer was a German classical scholar. He wrote also on Armenian mythology. He was the son of the Swiss historian Johann Heinrich Gelzer. He became Professor of Classical Philology and Ancient History at the University of Jena, in 1878. He wrote a still-standard work on Sextus Julius Africanus. He worked out the chronology of Gyges of Lydia, from cuneiform evidence, in an 1875 article."
68545,"Adolf Geering","Swiss librarian and publisher."
68546,"Hermann Kestner","He was the nephew of Mathilde Charras-Kestner (1832)."
68547,"Hermann Kestner-Köchlin","Hermann Kestner-Köchlin"
68548,"Moritz Thausing","Moritz Thausing was an Austrian art historian, and counts among the founders of the Vienna School of Art History."
68549,"Eduard Thurneysen","Sohn eines Basler Bandfabrikanten, begann er das Studium der Jurisprudenz in Basel, wobei er schon damals seinem Lehrer Johannes Schnell bei der Edition der Basler Rechtsquellen beistand, und setzte es in Heidelberg und Paris bis zum Doktorexamen fort. 1850 in Basel zum Untersuchungsrichter gewählt, rückte er 1862 und 1868 zum Präsidenten des Strafgerichts auf. Dieses Amt versah er vorbildlich und mit großer Selbstkritik bis 1890. Selber an Gesetzesentwürfen mitarbeitend, vertrat er auch die konservative Richtung während dieser Jahrzehnte im Großen Rat und betätigte sich in verschiedenen gemeinnützigen Funktionen."
